InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537702,22622,BOX OF VINTAGE ALPHABET BLOCKS,7,12/15/2023 17:28,9.46,12009,United Kingdom
537508,AMAZONFEE,AMAZON FEE,1,12/26/2023 09:45,12.5,12283,United Kingdom
536440,23203,jumbo bag doily patterns,20,02/09/2023 12:10,2.37,12073,United Kingdom
538363,22111,SCOTTIE DOG HOT WATER BOTTLE,14,07/03/2023 08:01,4.87,12109,United Kingdom
539016,84406B,CREAM CUPID HEARTS COAT HANGER,19,12/28/2023 18:08,3.13,12222,United Kingdom
C538122,20727,  Lunch Bag Black Skull  ,-23,12/07/2023 10:43,1.59,12127,United Kingdom
536433,21777,RECIPE BOX WITH METAL HEART,18,12/08/2023 19:38,6.75,12097,Italy
537868,23298,SPACEBOY LUNCH BOX,13,08/17/2023 17:17,2.11,12184,UK
538012,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,14,11/26/2023 16:10,3.86,12119,United Kingdom
537934,21754,HOME BUILDING BLOCK WORD,8,09/14/2023 15:00,6.45,12106,United Kingdom
538799,84406B,CREAM CUPID HEARTS COAT HANGER,22,03/18/2023 12:04,3.07,12127,United Kingdom
536478,22197,small popcorn holder,16,01/29/2023 11:36,0.88,12126,Belgium
C536473,84991,  60 Teatime Fairy Cake Cases  ,-5,12/04/2023 10:07,0.78,12284,Germany
539146,47566,PARTY BUNTING,13,08/10/2023 10:53,5.16,12029,France
537259,23298,spaceboy lunch box,9,01/22/2023 11:44,1.88,12061,Portugal
C537672,22423,REGENCY CAKESTAND 3 TIER,-20,11/27/2023 12:36,12.97,12224,United Kingdom
536750,21931,JUMBO STORAGE BAG SUKI,23,10/02/2023 16:31,1.92,12094,United Kingdom
536701,84029E,RED WOOLLY HOTTIE WHITE HEART,13,11/02/2023 15:03,3.46,12193,United Kingdom
539111,22748,POPPY'S PLAYHOUSE KITCHEN,14,12/23/2023 08:03,2.32,12123,Australia
536579,21212,PACK OF 72 RETROSPOT CAKE CASES,21,01/19/2023 09:49,0.56,12287,United Kingdom
538667,21777,RECIPE BOX WITH METAL HEART,12,07/04/2023 13:39,6.38,12193,United Kingdom
536608,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,06/10/2023 16:00,2.63,12172,Germany
537962,23355,HOT WATER BOTTLE KEEP CALM,18,05/09/2023 12:11,3.64,12130,Spain
539062,22632,  Hand Warmer Red Polka Dot  ,17,12/09/2023 10:17,1.85,12116,France
539141,84406B,CREAM CUPID HEARTS COAT HANGER,17,11/19/2023 17:37,2.52,12137,  united kingdom
537950,AMAZONFEE,AMAZON FEE,1,01/27/2023 12:12,12.5,12297,United Kingdom
536798,84879,ASSORTED COLOUR BIRD ORNAMENT,1,11/11/2023 18:52,1.94,12287,United Kingdom
536440,47566,PARTY BUNTING,4,02/09/2023 12:10,4.57,12073,United Kingdom
538901,22423,REGENCY CAKESTAND 3 TIER,1,09/30/2023 11:19,12.06,12279,Spain
537796,20725,LUNCH BAG RED RETROSPOT,16,12/18/2023 19:04,1.52,12069,United Kingdom
538030,20725,LUNCH BAG RED RETROSPOT,24,07/12/2023 18:27,1.69,12237,Germany
537039,84879,ASSORTED COLOUR BIRD ORNAMENT,13,09/26/2023 14:10,1.9,12295,United Kingdom
537908,84879,ASSORTED COLOUR BIRD ORNAMENT,21,05/16/2023 19:58,1.53,12038,U.K.
537522,84879,  Assorted Colour Bird Ornament  ,21,12/25/2023 11:36,1.73,,United Kingdom
538614,21929,JUMBO BAG PINK POLKADOT,19,12/03/2023 15:41,2.09,,United Kingdom
536945,71053,WHITE METAL LANTERN,8,02/12/2023 16:11,3.77,12177,United Kingdom
538284,21212,PACK OF 72 RETROSPOT CAKE CASES,6,09/09/2023 15:38,0.61,12186,United Kingdom
536482,84406B,cream cupid hearts coat hanger,11,10/23/2023 18:48,2.88,12179,U.K.
538550,21755,LOVE BUILDING BLOCK WORD,15,06/21/2023 14:30,6.64,12028,United Kingdom
536906,84991,60 TEATIME FAIRY CAKE CASES,10,02/10/2023 14:07,0.92,12094,United Kingdom
537036,21212,PACK OF 72 RETROSPOT CAKE CASES,10,10/21/2023 12:29,0.56,12123,Australia
538335,23298,SPACEBOY LUNCH BOX,20,02/01/2023 11:44,2.02,12288,United Kingdom
537605,22745,POPPY'S PLAYHOUSE BEDROOM,13,12/03/2023 18:40,2.11,12159,France
538437,21929,JUMBO BAG PINK POLKADOT,6,09/17/2023 15:24,1.89,12118,France
539099,22111,SCOTTIE DOG HOT WATER BOTTLE,2,01/17/2023 10:51,4.87,12331,Germany
537796,23355,HOT WATER BOTTLE KEEP CALM,23,12/18/2023 19:04,4.38,12069,United Kingdom
538115,22633,HAND WARMER UNION JACK,20,12/24/2023 18:06,1.96,12199,France
536793,22632,HAND WARMER RED POLKA DOT,14,12/09/2023 15:16,2.06,12180,Ireland
539039,POST,POSTAGE,1,09/30/2023 18:20,18.0,,United Kingdom
537122,21471,TRAVEL CARD WALLET SKULL,2,11/03/2023 17:08,0.45,12135,United Kingdom
537924,84406B,CREAM CUPID HEARTS COAT HANGER,22,12/28/2023 10:12,2.75,12278,Germany
537074,21777,RECIPE BOX WITH METAL HEART,22,05/22/2023 15:24,6.74,12155,United Kingdom
537770,20725,LUNCH BAG RED RETROSPOT,5,12/03/2023 08:32,1.54,12167,United Kingdom
536959,21471,TRAVEL CARD WALLET SKULL,23,12/21/2023 10:20,0.43,12120,France
536605,21212,PACK OF 72 RETROSPOT CAKE CASES,18,11/05/2023 17:59,0.53,12248,United Kingdom
537595,20725,LUNCH BAG RED RETROSPOT,20,12/08/2023 17:38,1.5,12096,Australia
537622,21755,LOVE BUILDING BLOCK WORD,20,07/29/2023 13:25,6.1,12016,  united kingdom
536381,22111,  Scottie Dog Hot Water Bottle  ,15,07/05/2023 16:37,5.08,12215,United Kingdom
538115,22960,JAM MAKING SET WITH JARS,9,12/24/2023 18:06,4.19,12199,France
537386,22960,JAM MAKING SET WITH JARS,15,12/21/2023 08:07,4.03,12154,Portugal
537384,22752,SET 7 BABUSHKA NESTING BOXES,7,12/25/2023 09:34,8.36,,United Kingdom
537281,22423,regency cakestand 3 tier,17,11/02/2023 08:00,12.52,12178,United Kingdom
538464,22745,POPPY'S PLAYHOUSE BEDROOM,20,12/16/2023 13:21,2.35,12307,United Kingdom
538267,22752,SET 7 BABUSHKA NESTING BOXES,22,12/07/2023 12:37,8.08,12187,United Kingdom
537437,20728,LUNCH BAG CARS BLUE,7,05/15/2023 14:46,1.54,12324,United Kingdom
537238,23245,SET OF 3 REGENCY CAKE TINS,9,06/08/2023 16:42,5.15,12071,United Kingdom
536437,23298,SPACEBOY LUNCH BOX,21,12/01/2023 08:33,2.24,12337,Spain
537676,21777,RECIPE BOX WITH METAL HEART,11,04/11/2023 10:04,6.03,12219,UK
538695,22625,red kitchen scales,12,03/02/2023 10:31,9.69,12219,United Kingdom
539101,AMAZONFEE,AMAZON FEE,1,10/10/2023 14:20,12.5,12073,United Kingdom
537868,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,08/17/2023 17:17,3.38,12184,UK
538539,21777,RECIPE BOX WITH METAL HEART,14,01/23/2023 14:00,5.36,12017,Netherlands
538667,21730,GLASS STAR FROSTED T-LIGHT HOLDER,22,07/04/2023 13:39,4.01,12193,United Kingdom
536836,21755,LOVE BUILDING BLOCK WORD,16,01/28/2023 19:13,6.28,12062,Spain
536844,84406B,CREAM CUPID HEARTS COAT HANGER,7,09/14/2023 13:22,2.85,12254,United Kingdom
536391,21212,PACK OF 72 RETROSPOT CAKE CASES,23,12/02/2023 09:11,0.56,12052,United Kingdom
536761,BANK CHARGES,BANK CHARGES,1,01/02/2023 19:40,15.0,12153,Australia
537001,84029E,RED WOOLLY HOTTIE WHITE HEART,23,02/11/2023 16:31,3.51,12160,UK
536899,21212,PACK OF 72 RETROSPOT CAKE CASES,12,03/20/2023 18:35,0.54,12104,Australia
539064,23355,HOT WATER BOTTLE KEEP CALM,6,05/16/2023 16:58,3.8,12228,United Kingdom
538437,84406B,cream cupid hearts coat hanger,15,09/17/2023 15:24,2.65,12118,France
537077,21754,HOME BUILDING BLOCK WORD,12,11/05/2023 17:36,6.06,12102,Portugal
536619,23245,SET OF 3 REGENCY CAKE TINS,21,12/24/2023 17:34,5.05,12170,United Kingdom
C537570,21755,LOVE BUILDING BLOCK WORD,-14,12/19/2023 15:44,5.71,12176,United Kingdom
538871,21777,RECIPE BOX WITH METAL HEART,6,02/25/2023 17:41,6.66,12291,United Kingdom
C537739,21931,JUMBO STORAGE BAG SUKI,-3,09/06/2023 18:39,2.33,12092,  united kingdom
538135,71053,WHITE METAL LANTERN,15,02/16/2023 17:52,3.37,12104,Australia
537595,21929,JUMBO BAG PINK POLKADOT,19,12/08/2023 17:38,2.15,12096,Australia
